2025/06/28 09:43:09 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:10 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:11 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:11 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:12 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:14 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:18 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:24 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:43:38 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:44:04 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:44:56 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 09:45:56 [emerg] 1#1: "add_header" directive is not allowed here in /etc/nginx/nginx.conf:44
2025/06/28 10:39:57 [error] 52#52: *184 connect() failed (111: Connection refused) while connecting to upstream, client: 172.20.0.1, server: _, request: "GET /api/database/test-connection HTTP/1.1", upstream: "http://172.20.0.5:8080/api/database/test-connection", host: "localhost:8080"
2025/07/02 13:33:11 [warn] 22#22: *5099 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/6/03/0000000036 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/02 13:33:20 [warn] 25#25: *5141 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/7/03/0000000037 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
2025/07/02 14:55:59 [warn] 24#24: *5337 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/8/03/0000000038 while reading upstream, client: 193.112.35.218, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080"
2025/07/02 15:34:54 [warn] 24#24: *5437 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/9/03/0000000039 while reading upstream, client: 180.101.244.16, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/02 17:41:48 [warn] 22#22: *5731 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/0/04/0000000040 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/02 17:41:55 [warn] 25#25: *5787 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/04/0000000041 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
2025/07/02 17:42:56 [warn] 25#25: *5802 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/04/0000000042 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/02 17:43:08 [warn] 24#24: *5847 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/04/0000000043 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
2025/07/02 18:08:39 [warn] 22#22: *5942 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/04/0000000044 while reading upstream, client: 59.83.208.106, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/02 23:37:22 [warn] 24#24: *6685 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/5/04/0000000045 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/02 23:37:31 [warn] 23#23: *6728 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/6/04/0000000046 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
2025/07/02 23:38:57 [warn] 22#22: *6738 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/7/04/0000000047 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/02 23:39:03 [warn] 25#25: *6789 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/8/04/0000000048 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
2025/07/03 01:59:06 [warn] 24#24: *7083 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/9/04/0000000049 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
2025/07/03 01:59:13 [warn] 23#23: *7136 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/0/05/0000000050 while reading upstream, client: 47.56.183.123, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: ":8080/"
2025/07/03 02:00:44 [warn] 23#23: *7160 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/05/0000000051 while reading upstream, client: 8.163.28.108, server: _, request: "GET /images/cityscape-bg.jpg HTTP/1.1", upstream: "http://172.20.0.6:5137/images/cityscape-bg.jpg", host: "1.15.34.167:8080", referrer: "http://1.15.34.167:8080/"
